stop_id,stop_name,stop_type,stop_status,stop_description,longitude,latitude
1,La Paloma 1,Existing IRT Stop,Active,Full Shelter,18.45343608662468,-33.78344501334062
2,La Paloma 2,Existing IRT Stop,Active,Full Shelter,18.454262531900216,-33.78442694821041
3,Losperds 1,Existing IRT Stop,Active,Totem,18.452842090122765,-33.68996613569019
4,Pella North 1,Existing IRT Stop,Active,Totem,18.52033162705398,-33.5369340264067
5,Pella Central 1,Existing IRT Stop,Active,Totem,18.52063573157226,-33.53888358555547
6,Insiswa 1,Existing IRT Stop,Active,Temp Pole,18.504791799142673,-33.55131845103735
7,Kolgha 1,Existing IRT Stop,Active,Temp Pole,18.504432472777967,-33.553931192571135
8,Lagan 1,Existing IRT Stop,Active,Temp Pole,18.501611762938282,-33.554567522906815
9,Bridgeway 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.504042705824787,-33.8950358701624
10,Loxton East 1,Existing IRT Stop,Active,Full Shelter,18.4951977924474,-33.883062773310584
11,D Nyembe 2,Existing IRT Stop,Active,Cantilever Shelter,18.691692381432397,-34.04475764635079
12,Johan Heyns North 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.486349385579302,-33.588892404979596
13,Begonia 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.497156118879023,-33.580488336658554
14,Begonia 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.496859675131642,-33.580301237927706
15,Aloe 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.5012614197815,-33.58066795176319
16,Aloe 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.50163871245084,-33.580503305187364
17,Acacia 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.503138898787412,-33.57941064088938
18,Acacia 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.503138898642884,-33.579283411782484
19,Azalea 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.503049067450128,-33.5758631307238
20,Azalea 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.502716690659422,-33.575773319146066
21,Kerria Primary 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.49837782823329,-33.577038166436466
22,Kerria Primary 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.49828799556763,-33.57711300937642
23,Union 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.4091212209137,-33.93165015803566
24,Union 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.40892359214435,-33.931866305297255
25,Old Breakwater Prison 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.416038248671335,-33.90660319205688
26,Old Breakwater Prison 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.415957399735216,-33.90667029165575
27,Walworth 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.52073689522749,-33.804610002225964
28,Southwark 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.52293776773996,-33.80433381721082
29,Lewisham 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.5239618473278,-33.80208697810964
30,Sparrebos 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.498800035693616,-33.54910991188851
31,Sparrebos 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.49899766464286,-33.54917729188518
32,Castlehill 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.505303838625352,-33.55690318500198
33,Castlehill 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.504908580066438,-33.55667860472477
34,Montreal South 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.506552496944117,-33.56108027014065
35,Montreal South 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.50664232792545,-33.56176894483641
36,Klipheuwel 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.505923676484105,-33.562427673205846
37,Klipheuwel 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.505663164672487,-33.56248755668233
38,Capitoline 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.50237533060626,-33.561536892439726
39,Capitoline 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.502213634532534,-33.56117009721657
40,Harry Alexander 1,New IRT Stop with Temporary Pole,Active,Red Totem,18.490472653371533,-33.58101221209291
41,Harry Alexander 2,New IRT Stop with Temporary Pole,Active,Red Totem,18.49038282163323,-33.581087050996366
42,Ankerlig Power Station 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.461636733091595,-33.595417528024555
43,Ankerlig Power Station 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.461789446170076,-33.59544745932602
44,Brecon 1,Existing IRT Stop,Active,Full Shelter,18.499536653868628,-33.560728444048394
